id,name,artist,title,duration,trackNumber,releaseDate,trackUrl
4yUUVfwvxtMecOQ2fI7a7j,...To Be Loved,Papa Roach,The Paramour Sessions,182120,1,2006-01-01,https://api.spotify.com/v1/tracks/4yUUVfwvxtMecOQ2fI7a7j
10dQ88CwBZ8bpbNvaiaRFE,Erasus,Subkulture,Erasus,254666,1,2007-11-15,https://api.spotify.com/v1/tracks/10dQ88CwBZ8bpbNvaiaRFE
0lHSJ0ZP8uUPnJXhMdGjOK,Attack,Thirty Seconds To Mars,A Beautiful Lie,188186,1,2005-01-01,https://api.spotify.com/v1/tracks/0lHSJ0ZP8uUPnJXhMdGjOK
3PbHle8KhJp6GuO1jLdEmQ,Be Like That,3 Doors Down,The Better Life,265906,5,2000,https://api.spotify.com/v1/tracks/3PbHle8KhJp6GuO1jLdEmQ
0VKYHUrAXZnzLpNh9YFckH,Waiting for Superman,Daughtry,Waiting for Superman,266640,1,2013-09-17,https://api.spotify.com/v1/tracks/0VKYHUrAXZnzLpNh9YFckH
7mXmxXLAnsvXKt4Q37KoMI,Over You,Daughtry,Daughtry,204853,4,2006-11-20,https://api.spotify.com/v1/tracks/7mXmxXLAnsvXKt4Q37KoMI
0wIhWLNLIOmzQ89B3rtTd3,It's Not Over,Daughtry,Daughtry,215026,1,2006-11-20,https://api.spotify.com/v1/tracks/0wIhWLNLIOmzQ89B3rtTd3
7lWF2mVr1KKbVnaT2nSlPo,Fall For You,Secondhand Serenade,A Twist In My Story,185600,2,2008-01-15,https://api.spotify.com/v1/tracks/7lWF2mVr1KKbVnaT2nSlPo
1hIupFeRu3nmMcjbjxPnMc,I'm Just A Kid,Simple Plan,"No Pads, No Helmets...Just Balls",198333,4,2002-03-19,https://api.spotify.com/v1/tracks/1hIupFeRu3nmMcjbjxPnMc
0ZJAa6BO0RxPYUejFJVxMQ,Champagne Supernova,Oasis,Stop The Clocks,449333,17,2006-11-20,https://api.spotify.com/v1/tracks/0ZJAa6BO0RxPYUejFJVxMQ
2VhlraBUZUZWR5Mj1OIjKy,Memories,Weezer,Hurley,194306,1,2010-09-14,https://api.spotify.com/v1/tracks/2VhlraBUZUZWR5Mj1OIjKy
3VTBfa6YBDgBxsZ5o2Pyas,I'd Do Anything for Love (But I Won't Do That) - Radio Edit,Meat Loaf,Playlist: The Very Best Of Meat Loaf,321973,10,1975,https://api.spotify.com/v1/tracks/3VTBfa6YBDgBxsZ5o2Pyas
1avq1yCUk8SCKs4qD0VcXJ,What Ya Gonna Do,Hinder,All American Nightmare,246906,3,2010-01-01,https://api.spotify.com/v1/tracks/1avq1yCUk8SCKs4qD0VcXJ
4hE60NFeC235xg6XSGiZpR,The Best is Yet to Come,Hinder,Take It To The Limit,202733,7,2008-01-01,https://api.spotify.com/v1/tracks/4hE60NFeC235xg6XSGiZpR
21jEuMn2lf37715rwjow2M,The Freshmen,The Verve Pipe,Villains,269466,7,1996-03-25,https://api.spotify.com/v1/tracks/21jEuMn2lf37715rwjow2M
0xMEF2WiqKWTIG7Krjungw,The Distance,CAKE,Fashion Nugget,179653,2,1996-09-17,https://api.spotify.com/v1/tracks/0xMEF2WiqKWTIG7Krjungw
4e6kP7g8MUCqHcld1yeHYA,Free Bird,Lynyrd Skynyrd,The Essential Lynyrd Skynyrd,550066,13,1998,https://api.spotify.com/v1/tracks/4e6kP7g8MUCqHcld1yeHYA
4Vn7TykT27PIygBiZjTR2s,Hotel California - 2013 Remaster,Eagles,The Very Best of the Eagles (2013 Remaster),391376,17,2003-10-21,https://api.spotify.com/v1/tracks/4Vn7TykT27PIygBiZjTR2s
